Time, h;T brain, °C;T core, °C;T blood, °C;T skin, °C;T body, °C;T muscles, °C;T fat, °C;HR, beats/min;CO, l/h;SV, mL/stroke;Metabolism, kcal/h;Met. skin, kcal/h;Heat flow skin, kcal/h;Sk conduct, kcal/h;Radiation, kcal/h;Air conv, kcal/h;Water conv, kcal/h;Resp los, kcal/h;Balance, kcal/h;Req evap, kcal/h;Poss evap, kcal/h;Real evap, kcal/h;Dripping, g/h;Evap sw rate, g/h;WL, g;Wettedness;Sweat eff;BF skin, l/h;BF muscles, l/h;Shivering, kcal/h;Activity MET, kcal/h;
0;36,844;36,942;36,798;34,332;36,159;36,13;35,726;74,975;318,32;70,902;70,979;2,2;15,476;29,531;27,572;27,572;0;9;0;9,48;8,49;9,48;0;16,344;16,344;0;1;10,9;26;0;70,98;
0,001;36,844;36,942;36,713;34,174;36,515;36,19;35,726;83,166;490,051;98,226;156,176;2,2;16,012;49,72;88,286;441,43;0;9;-392,021;9,48;1703,038;9,48;0;16,344;16,361;0,03;1;10,9;197,731;0;156,176;
0,002;36,843;36,941;36,657;34,024;36,501;36,197;35,725;82,052;488,343;99,212;159,154;2,2;22,434;54,924;87,223;436,118;0;9;-382,668;9,48;1703,038;9,48;0;16,344;16,377;0,03;1;8,696;198,227;2,978;156,176;
0,003;36,841;36,94;36,627;33,876;36,486;36,204;35,724;81,452;487,291;99,728;162,042;2,2;19,425;59,978;86,183;430,919;0;9;-373,542;9,48;1675,984;9,48;0;16,344;16,393;0,03;1;7,163;198,707;5,866;156,176;
0,004;36,839;36,938;36,613;33,732;36,472;36,211;35,723;81,169;486,071;99,826;164,897;2,2;15,702;64,895;85,164;425,823;0;9;-364,572;9,48;1650,406;9,48;0;16,344;16,41;0,03;1;5,468;199,183;8,721;156,176;
0,005;36,836;36,936;36,608;33,589;36,458;36,218;35,722;81,083;484,773;99,665;167,707;2,2;11,389;69,691;84,164;420,821;0;9;-355,759;9,48;1625,608;9,48;0;16,344;16,426;0,03;1;3,702;199,65;11,531;156,176;
0,006;36,833;36,934;36,609;33,45;36,443;36,224;35,72;81,092;484,046;99,504;170,466;2,2;8,399;74,357;83,184;415,923;0;9;-347,123;9,48;1601,525;9,48;0;16,344;16,442;0,03;1;2,516;200,11;14,29;156,176;
0,007;36,83;36,932;36,609;33,314;36,43;36,231;35,718;81,099;484,494;99,588;173,16;2,2;8,877;78,865;82,232;411,163;0;9;-338,716;9,48;1578,096;9,48;0;16,344;16,459;0,03;1;2,516;200,558;16,984;156,176;
0,008;36,826;36,929;36,609;33,182;36,416;36,237;35,716;81,105;484,929;99,67;175,77;2,2;9,336;83,221;81,307;406,537;0;9;-330,555;9,48;1555,357;9,48;0;16,344;16,475;0,03;1;2,516;200,992;19,594;156,176;
0,009;36,823;36,927;36,61;33,054;36,403;36,244;35,714;81,111;485,35;99,749;178,298;2,2;9,779;87,433;80,408;402,04;0;9;-322,63;9,48;1533,444;9,48;0;16,344;16,491;0,03;1;2,516;201,413;22,122;156,176;
0,01;36,82;36,925;36,61;32,929;36,391;36,25;35,711;81,117;485,757;99,824;180,749;2,2;10,205;91,507;79,533;397,668;0;9;-314,933;9,48;1512,318;9,48;0;16,344;16,508;0,03;1;2,516;201,821;24,573;156,176;
0,011;36,816;36,923;36,61;32,807;36,378;36,257;35,708;81,125;486,153;99,897;183,124;2,2;10,615;95,448;78,683;393,417;0;9;-307,456;9,48;1491,944;9,48;0;16,344;16,524;0,03;1;2,516;202,217;26,948;156,176;
0,012;36,813;36,922;36,611;32,689;36,367;36,263;35,705;81,133;486,536;99,965;185,429;2,2;11,01;99,261;77,856;389,283;0;9;-300,192;9,48;1472,288;9,48;0;16,344;16,54;0,03;1;2,516;202,6;29,253;156,176;
