Time, h;T brain, °C;T core, °C;T blood, °C;T skin, °C;T body, °C;T muscles, °C;T fat, °C;HR, beats/min;CO, l/h;SV, mL/stroke;Metabolism, kcal/h;Met. skin, kcal/h;Heat flow skin, kcal/h;Sk conduct, kcal/h;Radiation, kcal/h;Air conv, kcal/h;Water conv, kcal/h;Resp los, kcal/h;Balance, kcal/h;Req evap, kcal/h;Poss evap, kcal/h;Real evap, kcal/h;Dripping, g/h;Evap sw rate, g/h;WL, g;Wettedness;Sweat eff;BF skin, l/h;BF muscles, l/h;Shivering, kcal/h;Activity MET, kcal/h;
0;36,844;36,942;36,798;34,332;36,159;36,13;35,726;74,975;318,32;70,902;70,979;2,2;15,476;29,531;27,572;27,572;0;9;0;9,48;8,49;9,48;0;16,344;16,344;0;1;10,9;26;0;70,98;
0,001;36,844;36,942;36,772;34,168;36,513;36,181;35,726;75,123;368,755;81,826;76,8;2,2;16,673;49,858;119,816;428,296;0;9;-489,793;9,48;1448,863;9,48;0;16,344;16,361;0,03;1;10,9;76,435;0;76,8;
0,002;36,844;36,942;36,748;34,012;36,497;36,183;35,725;74,646;366,444;81,833;76,8;2,2;23,03;55,203;118,707;424,33;0;9;-484,718;9,48;1448,863;9,48;0;16,344;16,377;0,03;1;8,588;76,435;0;76,8;
0,003;36,843;36,942;36,734;33,858;36,482;36,184;35,724;74,36;364,978;81,819;76,8;2,2;20,199;60,4;117,617;420,436;0;9;-479,735;9,48;1428,767;9,48;0;16,344;16,393;0,03;1;7,122;76,435;0;76,8;
0,004;36,842;36,941;36,726;33,706;36,466;36,186;35,722;74,208;364,904;81,971;85,753;2,2;16,724;65,465;116,547;416,609;0;9;-465,883;9,48;1409,694;9,48;0;16,344;16,41;0,03;1;5,558;77,926;8,953;76,8;
0,005;36,84;36,94;36,724;33,557;36,451;36,187;35,72;74,165;363,771;81,764;88,607;2,2;12,711;70,409;115,492;412,84;0;9;-458,207;9,48;1391,157;9,48;0;16,344;16,426;0,03;1;3,95;78,401;11,807;76,8;
0,006;36,838;36,939;36,725;33,41;36,436;36,189;35,718;74,196;362,803;81,512;91,408;2,2;8,814;75,24;114,455;409,131;0;9;-450,658;9,48;1373,109;9,48;0;16,344;16,442;0,03;1;2,516;78,867;14,608;76,8;
0,007;36,836;36,938;36,726;33,266;36,422;36,191;35,715;74,204;363,26;81,605;94,154;2,2;9,32;79,918;113,442;405,511;0;9;-443,281;9,48;1355,511;9,48;0;16,344;16,459;0,03;1;2,516;79,324;17,354;76,8;
0,008;36,834;36,938;36,726;33,126;36,407;36,193;35,712;74,197;363,704;81,713;96,818;2,2;9,807;84,45;112,454;401,979;0;9;-436,096;9,48;1338,347;9,48;0;16,344;16,475;0,03;1;2,516;79,767;20,018;76,8;
0,009;36,832;36,937;36,725;32,989;36,394;36,195;35,708;74,179;364,134;81,829;99,405;2,2;10,276;88,843;111,489;398,531;0;9;-429,097;9,48;1321,75;9,48;0;16,344;16,491;0,03;1;2,516;80,198;22,605;76,8;
