Code;Fabric type/construction;Fibre content;REF, m^2·kPa/W;RF, m^2·°C/W;IP;Density, kg/m^3;Thickness, mm;Code_old
1;Denim;100% cotton;0,0066;0,037;0,337;400;1,778;33
2;Single jersey;100% cotton;0,004;0,036;0,541;500;1,27;2;
3;Sportswear, Outlast®;30% Viscose + 70% Cotton;0,0012;0,02;0,99;234;1,08;Sport_1
4;Sportswear, polyester;100% polyester;0,0024;0,0277;0,684;212;0,598;Sport_2
5;Sportswear, nylon;100% nylon;0,0014;0,011;0,472;290;0,356;4
6;Woolen;100% wool;0,0079;0,061;0,464;108;2,464;64
7;Acrylic fibers;75% hi-bulk Orlon acrylic + 25% stretch nylon;0,0083;0,086;0,626;72;3,353;81
51;Fire-fighter's;G I;0,0231;0,203;0,37;443;1,3;G1_Ens;
52;Protective A;JSLIST 0,4;0,0503;0,2730;0,326;440;1,3;GI_5
53;Protective B;Protective clo 525;0,023;0,27;0,3;440;1,3;Ens_525;
73;Wetsuit 3 mm;100% neoprene;1,5;0,058;0,14;170;3;Ws_3;
76;Wetsuit 6 mm;100% neoprene;3;0,116;0,14;170;6;Ws_6;
93;Athletic shoes;woven fabric, vinil, knit;0,052;0,087;0,1;700;3,5;93
94;Work shoe-boots;leather;0,047;0,083;0,1;860;3,2;94
